l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,603977.SH,603977.SH,国泰集团,2018-07-13,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002096.SZ,002096.SZ,易普力,2006-12-20,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,603227.SH,603227.SH,雪峰科技,2015-01-06,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002783.SZ,002783.SZ,凯龙股份,2015-12-09,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,003002.SZ,003002.SZ,壶化股份,2020-09-04,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002917.SZ,002917.SZ,金奥博,2017-12-08,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002246.SZ,002246.SZ,北化股份,2017-06-29,民爆制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,002440.SZ,002440.SZ,闰土股份,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,300067.SZ,300067.SZ,安诺其,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,300107.SZ,300107.SZ,建新股份,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,300798.SZ,300798.SZ,锦鸡股份,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,600352.SH,600352.SH,浙江龙盛,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,603188.SH,603188.SH,亚邦股份,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,603790.SH,603790.SH,雅运股份,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,603980.SH,603980.SH,吉华集团,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,605566.SH,605566.SH,福莱蒽特,2021-12-13,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,603172.SH,603172.SH,万丰股份,2023-05-10,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,301618.SZ,301618.SZ,长联科技,2024-09-30,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,301585.SZ,301585.SZ,蓝宇股份,2024-12-20,纺织化学制品
850338.SI,220308,纺织化学制品,220300,化学制品,220000,基础化工,002054.SZ,002054.SZ,德美化工,2021-12-13,纺织化学制品
850339.SI,220309,其他化学制品,220300,化学制品,220000,基础化工,001218.SZ,001218.SZ,丽臣实业,2021-12-13,其他化学制品
850339.SI,220309,其他化学制品,220300,化学制品,220000,基础化工,002453.SZ,002453.SZ,华软科技,2021-12-13,其他化学制品
850339.SI,220309,其他化学制品,220300,化学制品,220000,基础化工,002455.SZ,002455.SZ,百川股份,2021-12-13,其他化学制品
